"","overall.course","overall.instructor","rigor","inspired","clarity","class","level"
"169",2.5,0.5,0,0.5,0,"Machine Learning","Intermediate"
"170",2.5,1.5,1.5,1.5,1.5,"Machine Learning","Intermediate"
"171",2.5,2.5,2.5,1.5,0.5,"Machine Learning","Intermediate"
"172",1.5,1.5,1.5,0.5,1.5,"Machine Learning","Intermediate"
"173",0.5,1.5,1.5,0,2.5,"Machine Learning","Intermediate"
"174",0,1.5,0.5,2.5,1.5,"Machine Learning","Intermediate"
"175",1.5,1.5,1.5,1.5,0.5,"Machine Learning","Intermediate"
"176",1.5,1.5,2.5,1.5,1.5,"Machine Learning","Intermediate"
"177",0.5,2.5,2.5,2.5,2.5,"Machine Learning","Intermediate"
"178",1.5,2.5,2.5,1.5,2.5,"Machine Learning","Intermediate"
"179",2.5,1.5,1.5,0.5,0.5,"Machine Learning","Intermediate"
"180",0.5,1.5,2.5,0.5,0.5,"Machine Learning","Intermediate"
"181",3,2,3,4,2,"Regression","Advanced"
"182",4,3,4,2,2,"Regression","Advanced"
"183",3,3,2,4,3,"Regression","Advanced"
"184",3,2,3,2,3,"Regression","Advanced"
"185",3,3,4,4,3,"Regression","Advanced"
"186",4,3,3,2,2,"Regression","Advanced"
"187",2,4,2,3,4,"Regression","Advanced"
"188",3,3,2,3,3,"Regression","Advanced"
"189",2,4,5,5,2,"Regression","Advanced"
"190",3,4,4,4,5,"Regression","Advanced"
"191",3,4,4,4,4,"Regression","Advanced"
"192",4,5,4,3,5,"Regression","Advanced"
"193",3,3,2,3,4,"Regression","Advanced"
"194",4,4,4,3,3,"Regression","Advanced"
"195",4,2,3,3,2,"Regression","Advanced"
"196",3,2,2,2,3,"Regression","Advanced"
"197",3,2,2,4,3,"Regression","Advanced"
"198",3,3,3,4,2,"Regression","Advanced"
"199",2,5,3,3,4,"Regression","Advanced"
"200",1,3,3,3,3,"Regression","Advanced"
"201",3,3,2,3,5,"Regression","Advanced"
"202",2,3,1,2,2,"Regression","Advanced"
"203",4,2,4,4,3,"Regression","Advanced"
"204",4,3,4,3,5,"Regression","Advanced"
"205",4,5,4,5,5,"Regression","Advanced"
"206",4,4,2,4,1,"Regression","Advanced"
"207",3,3,2,3,2,"Regression","Advanced"
"208",1,0,3,0,2,"Regression","Advanced"
"209",3,3,3,3,3,"Regression","Advanced"
"210",2,2,2,3,2,"Regression","Advanced"
"211",4,4,5,4,4,"Regression","Advanced"
"212",2,3,4,5,3,"Regression","Advanced"
"213",3,5,3,3,4,"Regression","Advanced"
"214",4,4,3,4,4,"Regression","Advanced"
"215",5,4,4,4,5,"Regression","Advanced"
"216",2,3,3,2,3,"Regression","Advanced"
"217",2,4,1,3,3,"Regression","Advanced"
"218",3,4,3,4,4,"Regression","Advanced"
"219",3,4,3,4,4,"Regression","Advanced"
"220",3,3,4,5,4,"Regression","Advanced"
"221",2,2,2,3,3,"Regression","Advanced"
"222",2,2,2,1,0,"Regression","Advanced"
"223",2,1,2,4,3,"Regression","Advanced"
"224",3,2,3,4,3,"Regression","Advanced"
"225",3,3,2,3,3,"Regression","Advanced"
"226",2.5,3.5,1.5,2.5,2.5,"Machine Learning","Advanced"
"227",1.5,2.5,3.5,2.5,2.5,"Machine Learning","Advanced"
"228",2.5,2.5,3.5,4.5,3.5,"Machine Learning","Advanced"
"229",4.5,4.5,4.5,3.5,4.5,"Machine Learning","Advanced"
"230",2.5,2.5,3.5,2.5,2.5,"Machine Learning","Advanced"
"231",4.5,3.5,4.5,4.5,5,"Machine Learning","Advanced"
"232",3.5,4.5,4.5,4.5,3.5,"Machine Learning","Advanced"
"233",3.5,2.5,2.5,3.5,4.5,"Machine Learning","Advanced"
"234",3.5,4.5,4.5,4.5,4.5,"Machine Learning","Advanced"
"235",2.5,4.5,3.5,2.5,2.5,"Machine Learning","Advanced"
"236",3.5,4.5,5,4.5,4.5,"Machine Learning","Advanced"
"237",2.5,2.5,2.5,3.5,3.5,"Machine Learning","Advanced"
"238",1.5,2.5,2.5,2.5,1.5,"Machine Learning","Advanced"
"239",4.5,4.5,4.5,3.5,1.5,"Machine Learning","Advanced"
"240",3.5,4.5,1.5,3.5,1.5,"Machine Learning","Advanced"
"241",2.5,2.5,1.5,2.5,2.5,"Machine Learning","Advanced"
"242",5,5,3.5,4.5,3.5,"Machine Learning","Advanced"
"243",2.5,3.5,4.5,4.5,3.5,"Machine Learning","Advanced"
"244",3.5,5,4.5,3.5,3.5,"Machine Learning","Advanced"
"245",2.5,1.5,2.5,2.5,3.5,"Machine Learning","Advanced"
"246",0.5,2.5,1.5,3.5,2.5,"Machine Learning","Advanced"
"247",3.5,3.5,4.5,4.5,2.5,"Machine Learning","Advanced"
"248",3.5,3.5,2.5,3.5,3.5,"Machine Learning","Advanced"
"249",3.5,5,4.5,4.5,2.5,"Machine Learning","Advanced"
"250",4.5,5,5,5,5,"Machine Learning","Advanced"
"251",3.5,2.5,4.5,4.5,3.5,"Machine Learning","Advanced"
"252",3.5,3.5,4.5,3.5,3.5,"Machine Learning","Advanced"
"253",3.5,4.5,3.5,5,4.5,"Machine Learning","Advanced"
"254",4.5,3.5,2.5,4.5,5,"Machine Learning","Advanced"
"255",4.5,4.5,4.5,3.5,3.5,"Machine Learning","Advanced"
"256",5,2.5,3.5,4.5,3.5,"Machine Learning","Advanced"
"257",3.5,3.5,5,2.5,3.5,"Machine Learning","Advanced"
"258",3.5,3.5,4.5,3.5,4.5,"Machine Learning","Advanced"
"259",3.5,3.5,4.5,4.5,4.5,"Machine Learning","Advanced"
"260",2.5,3.5,3.5,2.5,2.5,"Machine Learning","Advanced"
"261",5,5,4.5,5,5,"Machine Learning","Advanced"
"262",4.5,3.5,3.5,3.5,4.5,"Machine Learning","Advanced"
"263",2.5,3.5,5,5,3.5,"Machine Learning","Advanced"
"264",4.5,4.5,4.5,3.5,4.5,"Machine Learning","Advanced"
"265",3.5,2.5,3.5,3.5,3.5,"Machine Learning","Advanced"
"266",4.5,4.5,3.5,1.5,4.5,"Machine Learning","Advanced"
"267",4.5,4.5,5,3.5,5,"Machine Learning","Advanced"
"268",4.5,3.5,3.5,4.5,5,"Machine Learning","Advanced"
"269",3.5,3.5,3.5,4.5,3.5,"Machine Learning","Advanced"
"270",2.5,2.5,1.5,3.5,3.5,"Machine Learning","Advanced"
